Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:16LrVogeqYzGOfPXCzTVyU,Sajan Sajan Teri Dulhan,Aarzoo,Alka Yagnik,19-03-1999,441333,47,False,31mnpiwuxzkofpl2q2ncoyregkhe,2025-08-10T17:17:45Z,"bollywood,hindi pop,desi",Saregama,0.361,0.559,11.0,-13.095,0.0,0.237,0.427,7.72e-06,0.302,0.682,77.538,4.0
spotify:track:2qgXrzJsry4KgYoJCpuaul,Choo Lo,Aalas Ka Pedh,The Local Train,25-09-2015,233630,0,False,31mnpiwuxzkofpl2q2ncoyregkhe,2025-08-10T17:17:45Z,"indian indie,hindi indie",The Local Train,0.512,0.695,4.0,-6.349,1.0,0.0271,0.0265,0.00815,0.146,0.351,145.957,4.0
spotify:track:5abF4FI366vQdn3ALwBmLS,Hoth Rasiley,Welcome (Original Motion Picture Soundtrack),"Anand Raj Anand,Shankar Mahadevan,Shreya Ghoshal",21-11-2007,280241,59,False,31mnpiwuxzkofpl2q2ncoyregkhe,2025-08-10T17:17:45Z,"bollywood,desi,marathi pop,devotional,bhajan,tamil dance,hindi pop,tamil pop,kannada pop",Times Music,0.704,0.907,1.0,-6.161,1.0,0.106,0.122,0.0,0.317,0.7,119.954,4.0
spotify:track:2iXVckhPy7tP0wV9DvlrjZ,Mauja Hi Mauja,Jab We Met,"Pritam,Mika Singh,Irshad Kamil",21-09-2007,245099,66,False,31mnpiwuxzkofpl2q2ncoyregkhe,2025-08-10T17:17:45Z,"bollywood,hindi pop,desi,sufi",T-Series,0.738,0.873,2.0,-5.659,1.0,0.107,0.075,0.0294,0.225,0.484,104.982,4.0
spotify:track:4cltuh2RNH0LyZY9I8Vi08,Humko Pyar Hua,Ready,"Pritam,Tulsi Kumar,KK",25-04-2011,327300,60,False,31mnpiwuxzkofpl2q2ncoyregkhe,2025-08-10T17:17:45Z,"bollywood,hindi pop,desi",T-Series,0.574,0.816,2.0,-5.712,1.0,0.0767,0.39,0.0,0.399,0.478,90.018,4.0
spotify:track:5a5776C2hFlvFlU6uwYeeq,Hum Ko Maaloom Hain,Jaan-E-Mann,"Sonu Nigam,Sadhana Sargam",08-09-2006,441933,52,False,31mnpiwuxzkofpl2q2ncoyregkhe,2025-08-10T17:17:45Z,"kannada pop,bollywood,sandalwood,hindi pop,desi,marathi pop,tamil pop",T-Series,0.525,0.621,5.0,-9.775,1.0,0.0519,0.338,2.83e-05,0.351,0.529,104.948,4.0
spotify:track:6ABHr8kYCws5z6gC9Lwith,Baarish,Yaariyan,"Mohammed Irfan,Gajendra Verma,Mithoon",09-12-2013,374938,67,False,31mnpiwuxzkofpl2q2ncoyregkhe,2025-08-10T17:17:45Z,"hindi pop,bollywood,desi",T-Series,0.443,0.447,7.0,-7.895,0.0,0.0356,0.768,0.0,0.2,0.215,127.395,4.0
spotify:track:4mBmsPcPa1Eu4LDTHq55Ab,Hothon Se Chhu Lo Tum - From Prem Geet,Dard-E-Jigar,Jagjit Singh,01-01-2003,297706,64,False,31mnpiwuxzkofpl2q2ncoyregkhe,2025-08-10T17:17:45Z,"ghazal,bhajan,qawwali,sufi,devotional",Universal Music India Pvt Ltd.,0.557,0.327,4.0,-13.651,1.0,0.0273,0.844,0.000732,0.118,0.61,98.225,4.0
spotify:track:1Tr5FhvxC4IlRXYJHCXJdZ,Creepin',Creepin' (Remix),"Metro Boomin,The Weeknd,21 Savage",17-03-2023,221520,49,True,31mnpiwuxzkofpl2q2ncoyregkhe,2025-08-10T17:17:45Z,,Republic Records,0.716,0.613,1.0,-6.018,0.0,0.0522,0.391,0.0,0.0813,0.157,97.914,4.0
spotify:track:3h4T9Bg8OVSUYa6danHeH5,Animals,V (Asia Tour Edition),Maroon 5,18-05-2015,231013,74,False,31mnpiwuxzkofpl2q2ncoyregkhe,2025-08-10T17:17:45Z,pop,Interscope Records*,0.279,0.742,4.0,-6.46,0.0,0.0898,0.000185,0.0,0.593,0.328,189.868,4.0
